rank	brandName	count	type
1	KAMAZ	8705	МАРКА
2	LADA	7995	МАРКА
3	Россия	6773	ИСКЛЮЧИТЬ
4	ГАЗ	6089	МАРКА
5	UAZ	5585	МАРКА
6	HYUNDAI/KIA/MOBIS	5287	МАРКА
7	TRIALLI	3720	БРЕНД
8	FEBEST	2840	БРЕНД
9	BOSCH	2838	БРЕНД
10	GENERAL MOTORS	2828	МАРКА
11	FENOX	2793	БРЕНД
12	PATRON	2699	БРЕНД
13	AIRLINE	2623	БРЕНД
14	MASUMA	2612	БРЕНД
15	VAG	2609	МАРКА
16	LYNXauto	2584	БРЕНД
17	TOYOTA	2163	МАРКА
18	CTR	1852	БРЕНД
19	MTZ	1779	МАРКА
20	ZOMMER	1725	БРЕНД
21	БРТ	1709	СЕРАЯ_ЗОНА
22	Ford	1628	МАРКА
23	LUZAR	1627	БРЕНД
24	TRW	1601	БРЕНД
25	SAT	1524	СЕРАЯ_ЗОНА
26	МАЗ	1519	МАРКА
27	Autocomponent	1456	СЕРАЯ_ЗОНА
28	MANN	1442	БРЕНД
29	SANGSIN	1427	БРЕНД
30	STARTVOLT	1421	БРЕНД
31	БелЗАН	1417	СЕРАЯ_ЗОНА
32	FEBI	1399	БРЕНД
33	NISSAN	1381	МАРКА
34	MERCEDES-BENZ	1369	МАРКА
35	Stellox	1353	БРЕНД
36	FILTRON	1328	БРЕНД
37	MITSUBISHI	1184	МАРКА
38	AMD	1181	СЕРАЯ_ЗОНА
39	KAYABA	1164	БРЕНД
40	CHERY	1113	МАРКА
41	МТЗ	1097	МАРКА
42	BIG FILTER	1096	БРЕНД
43	LECAR	1093	БРЕНД
44	Renault	1093	МАРКА
45	SAKURA	1081	БРЕНД
46	ЯМЗ	1078	СЕРАЯ_ЗОНА
47	Дело Техники	1075	СЕРАЯ_ЗОНА
48	ПАЗ	1075	МАРКА
49	MILES	1056	СЕРАЯ_ЗОНА
50	ЗМЗ	1026	СЕРАЯ_ЗОНА
51	DELPHI	1004	БРЕНД
52	KORTEX	967	БРЕНД
53	Cargen	967	СЕРАЯ_ЗОНА
54	Haffen	964	СЕРАЯ_ЗОНА
55	MetalPart	916	СЕРАЯ_ЗОНА
56	NK	906	СЕРАЯ_ЗОНА
57	NGK	904	БРЕНД
58	Kumho	886	БРЕНД
59	VETTLER	876	БРЕНД
60	ЗИЛ	852	МАРКА
61	Replay	852	СЕРАЯ_ЗОНА
62	GATES	836	БРЕНД
63	MANDO	836	БРЕНД
64	LEMFORDER	833	БРЕНД
65	Красная Этна	820	СЕРАЯ_ЗОНА
66	PIRELLI	789	БРЕНД
67	Elring	776	БРЕНД
68	DAYCO	772	БРЕНД
69	УРАЛАЗ	764	МАРКА
70	ПТП64	724	СЕРАЯ_ЗОНА
71	NTN-SNR	722	БРЕНД
72	SACHS	715	БРЕНД
73	CITROEN/PEUGEOT	706	МАРКА
74	GoodWill	699	СЕРАЯ_ЗОНА
75	MEYLE	685	БРЕНД
76	PRAVT	673	СЕРАЯ_ЗОНА
77	Cummins	671	СЕРАЯ_ЗОНА
78	ABRO	660	БРЕНД
79	Fleetguard	648	БРЕНД
80	ПЕКАР	647	СЕРАЯ_ЗОНА
81	TSN	645	СЕРАЯ_ЗОНА
82	PARTS-MALL	643	БРЕНД
83	JP GROUP	642	БРЕНД
84	ROSTAR	641	СЕРАЯ_ЗОНА
85	NORPLAST	631	БРЕНД
86	VICTOR REINZ	623	БРЕНД
87	JAPANPARTS	615	БРЕНД
88	ТЕХНОРЕСУРС	615	СЕРАЯ_ЗОНА
89	Krauf	610	БРЕНД
90	NIBK	608	БРЕНД
91	DENSO	601	БРЕНД
92	QUATTRO FRENI	595	БРЕНД
93	КИТАЙ	578	ИСКЛЮЧИТЬ
94	JS ASAKASHI	577	БРЕНД
95	HONDA	575	МАРКА
96	Foton	574	МАРКА
97	NIPPARTS	569	БРЕНД
98	INA	568	БРЕНД
99	TYG	568	БРЕНД
100	LIFAN	552	МАРКА
101	GREAT WALL	543	МАРКА
102	ERA	541	БРЕНД
103	CORTECO	538	БРЕНД
104	АДС	538	СЕРАЯ_ЗОНА
105	KUDO	535	СЕРАЯ_ЗОНА
106	BMW	529	МАРКА
107	KNECHT	529	БРЕНД
108	BREMBO	526	БРЕНД
109	HANS PRIES	520	СЕРАЯ_ЗОНА
110	Автомагнат	519	СЕРАЯ_ЗОНА
111	ММЗ	518	МАРКА
112	DEPO	509	БРЕНД
113	BLUEPRINT	491	БРЕНД
114	MAHLE	487	БРЕНД
115	MONROE	485	БРЕНД
116	ЧТЗ	477	МАРКА
117	SSANG YONG	477	МАРКА
118	SKF	476	БРЕНД
119	ДААЗ	471	СЕРАЯ_ЗОНА
120	Suzuki	463	МАРКА
121	JIKIU	460	СЕРАЯ_ЗОНА
122	MAZDA	449	МАРКА
123	Zekkert	449	БРЕНД
124	Волгопромтранс	449	СЕРАЯ_ЗОНА
125	JONNESWAY	445	БРЕНД
126	GEELY	445	МАРКА
127	DAEWOO	441	МАРКА
128	SWAG	438	БРЕНД
129	Пластик	434	ИСКЛЮЧИТЬ
130	LESJOFORS	431	БРЕНД
131	FAG	428	БРЕНД
132	GMB	427	БРЕНД
133	PILENGA	422	СЕРАЯ_ЗОНА
134	Autofamily	417	СЕРАЯ_ЗОНА
135	Автодеталь	417	СЕРАЯ_ЗОНА
136	MARSHALL	417	СЕРАЯ_ЗОНА
137	Автоприбор	413	СЕРАЯ_ЗОНА
138	ASAM	412	БРЕНД
139	Автоглушитель	402	СЕРАЯ_ЗОНА
140	АвтоДело	396	СЕРАЯ_ЗОНА
141	JD	392	СЕРАЯ_ЗОНА
142	AUTO-GUR	387	СЕРАЯ_ЗОНА
143	ГОСТех	381	СЕРАЯ_ЗОНА
144	Освар	376	СЕРАЯ_ЗОНА
145	AP	372	СЕРАЯ_ЗОНА
146	TRANSMASTER	369	СЕРАЯ_ЗОНА
147	Сэви	367	СЕРАЯ_ЗОНА
148	FINWHALE	364	БРЕНД
149	NTY	358	БРЕНД
150	NSP	357	СЕРАЯ_ЗОНА
151	РЗИ	356	СЕРАЯ_ЗОНА
152	Техно Драйв	352	СЕРАЯ_ЗОНА
153	АВАР	352	СЕРАЯ_ЗОНА
154	RedBTR	348	СЕРАЯ_ЗОНА
155	ELEMENT	348	СЕРАЯ_ЗОНА
